topic,subTopic,questionText,choiceA,choiceB,choiceC,choiceD,answer
Basic Peripherals,Timer,Which pin of 8253 is used for the generation of an external interrupt signal?,OUT pin,IN pin,Interrupt pin,Ready pin,a
Basic Peripherals,Timer,Which timer architecture can provide a higher resolution than Intel 8253?,Intel 8253,Intel 8254,8051 timer,MC68230,d
Basic Peripherals,Timer,How many bit architecture does MC68230 have?,16,24,32,40,b
Basic Peripherals,Timer,How many bit bus does MC68230 have?,2,4,8,16,c
Basic Peripherals,Timer,Which of the following is a timer processor?,Intel 8253,MC146818,MC68332,Intel 8259,c
Basic Peripherals,Timer,What is the running frequency of MC68332?,12 MHz,14 MHz,16 MHz,18 MHz,c
Basic Peripherals,Timer,Which of the following is a real time clock?,MC146818,8253,8259,8254,a
Computer Organization,Addressing Modes,Which method/s of representation of numbers occupies a large amount of memory than others?,Sign-magnitude,1â€™s complement,2â€™s complement,1â€™s & 2â€™s compliment,a
Computer Organization,Addressing Modes,Which representation is most efficient to perform arithmetic operations on the numbers?,Sign-magnitude,1â€™s complement,2â€™S complement,None of the mentioned,c
Computer Organization,Addressing Modes,Which method of representation has two representations for â€˜0â€™?,Sign-magnitude,1â€™s complement,2â€™s complement,Both Sign-magnitude and 1â€™s complement,d
Computer Organization,Addressing Modes,When we perform subtraction on -7 and 1 the answer in 2â€™s complement form is _________,1010,1110,0110,1000,d
Computer Organization,Addressing Modes,When we perform subtraction on -7 and -5 the answer in 2â€™s complement form is ________,11110,1110,1010,0010,b
Computer Organization,Addressing Modes,"When we subtract -3 from 2 , the answer in 2â€™s complement form is _________",0001,1101,0101,1001,c
Computer Organization,Addressing Modes,The processor keeps track of the results of its operations using flags called ________,Conditional code flags,Test output flags,Type flags,None of the mentioned,a
Computer Organization,Addressing Modes,The register used to store the flags is called as _________,Flag register,Status register,Test register,Log register,b
Computer Organization,Addressing Modes,The Flag â€˜Vâ€™ is set to 1 indicates that _____________,The operation is valid,The operation is validated,The operation has resulted in an overflow,None of the mentioned,c
Computer Organization,Addressing Modes," In some pipelined systems, a different instruction is used to add to numbers which can affect the flags upon execution. That instruction is ",AddSetCC,AddCC,Add++,SumSetCC,a
Computer Organization,Addressing Modes, The most efficient method followed by computers to multiply two unsigned numbers is _______,Booth algorithm,Bit pair recording of multipliers,Restoring algorithm,Non restoring algorithm,b
Computer Organization,Addressing Modes," For the addition of large integers, most of the systems make use of ______",Fast adders,Full adders,Carry look-ahead adders,None of the mentioned,c
Computer Organization,Addressing Modes," In a normal n-bit adder, to find out if an overflow as occurred we make use of ________",And gate,Nand gate,Nor gate,Xor gate,d
Computer Organization,Addressing Modes, In the implementation of a Multiplier circuit in the system we make use of _______,Counter,Flip flop,Shift register,Push down stack,c
Computer Organization,Addressing Modes, When 1101 is used to divide 100010010 the remainder is ______,101,11,0,1,d
Computer Organization,Assembly Language,__________ converts the programs written in assembly language into machine instructions.,Machine compiler,Interpreter,Assembler,Converter,c
Computer Organization,Assembly Language,The instructions like MOV or ADD are called as ______,OP-Code,Operators,Commands,None of the mentioned,a
Computer Organization,Assembly Language,"The alternate way of writing the instruction, ADD #5,R1 is ______","ADD [5],[R1];","ADDI 5,R1;","ADDIME 5,[R1];",There is no other way,b
Computer Organization,Assembly Language,Instructions which wonâ€™t appear in the object program are called as _____,Redundant instructions,Exceptions,Comments,Assembler Directives,d
Computer Organization,Assembly Language,"The assembler directive EQU, when used in the instruction: Sum EQU 200 does ________",Finds the first occurrence of Sum and assigns value 200 to it,Replaces every occurrence of Sum with 200,Re-assigns the address of Sum by adding 200 to its original address,Assigns 200 bytes of memory starting the location of Sum,b
Computer Organization,Assembly Language,The purpose of the ORIGIN directive is __________,"To indicate the starting position in memory, where the program block is to be stored",To indicate the starting of the computation code,To indicate the purpose of the code,To list the locations of all the registers used,a
Computer Organization,Assembly Language,The directive used to perform initialization before the execution of the code is ______,Reserve,Store,Dataword,EQU,c
Computer Organization,Assembly Language,_____ directive is used to specify and assign the memory required for the block of code.,Allocate,Assign,Set,Reserve,d
Computer Organization,Assembly Language,_____ directive specifies the end of execution of a program.,End,Return,Stop,Terminate,b
Computer Organization,Assembly Language, The last statement of the source program should be _______,Stop,Return,OP,End,d
Computer Organization,Assembly Language, When dealing with the branching code the assembler ___________,Replaces the target with its address,Does not replace until the test condition is satisfied,Finds the Branch offset and replaces the Branch target with it,Replaces the target with the value specified by the DATAWORD directive,c
Computer Organization,Assembly Language, The assembler stores all the names and their corresponding values in ______,Special purpose Register,Symbol Table,Value map Set,None of the mentioned,b
Computer Organization,Assembly Language, The assembler stores the object code in ______,Main memory,Cache,RAM,Magnetic disk,d
Computer Organization,Assembly Language, The utility program used to bring the object code into memory for execution is ______,Loader,Fetcher,Extractor,Linker,a
Computer Organization,Assembly Language, To overcome the problems of the assembler in dealing with branching code we use _____,Interpreter,Debugger,Op-Assembler,Two-pass assembler,d
Computer Organization,Memory Locations and Addresses,The smallest entity of memory is called _______,Cell,Block,Instance,Unit,a
Computer Organization,Memory Locations and Addresses,The collection of the above mentioned entities where data is stored is called ______,Block,Set,Word,Byte,a
Computer Organization,Memory Locations and Addresses,An 24 bit address generates an address space of ______ locations.,1024,4096,248,"16,777,216",d
Computer Organization,Memory Locations and Addresses,"If a system is 64 bit machine, then the length of each word will be _______",4 bytes,8 bytes,16 bytes,12 bytes,b
Computer Organization,Memory Locations and Addresses,The type of memory assignment used in Intel processors is _____,Little Endian,Big Endian,Medium Endian,None of the mentioned,a
Computer Organization,Memory Locations and Addresses,"When using the Big Endian assignment to store a number, the sign bit of the number is stored in _____",The higher order byte of the word,The lower order byte of the word,Canâ€™t say,None of the mentioned,a
Computer Organization,Memory Locations and Addresses,To get the physical address from the logical address generated by CPU we use ____________,MAR,MMU,Overlays,TLB,b
Computer Organization,Memory Locations and Addresses,_____ method is used to map logical addresses of variable length onto physical memory.,Paging,Overlays,Segmentation,Paging with segmentation,c
Computer Organization,Memory Locations and Addresses,During the transfer of data between the processor and memory we use ______,Cache,TLB,Buffers,Registers,d
Computer Organization,Memory Locations and Addresses, Physical memory is divided into sets of finite size called as ______,Frames,Pages,Blocks,Vectors,a
Computer Organization,Memory Operations and Management,"Add #%01011101,R1 , when this instruction is executed then _________",The binary addition between the operands takes place,The Numerical value represented by the binary value is added to the value of R1,"The addition doesnâ€™t take place, whereas this is similar to a MOV instruction",None of the mentioned,a
Computer Organization,Memory Operations and Management,When generating physical addresses from a logical address the offset is stored in __________,Translation look-aside buffer,Relocation register,Page table,Shift register,b
Computer Organization,Memory Operations and Management,The technique used to store programs larger than the memory is ____________,Overlays,Extension registers,Buffers,Both Extension registers and Buffers,a
Computer Organization,Memory Operations and Management,The unit which acts as an intermediate agent between memory and backing store to reduce process time is ___________,TLBâ€™s,Registers,Page tables,Cache,d
Computer Organization,Memory Operations and Management,Does the Load instruction do the following operation/s?,Loads the contents of a disc onto a memory location,Loads the contents of a location onto the accumulators,Load the contents of the PCB onto the register,None of the mentioned,b
Computer Organization,Memory Operations and Management,Complete the following analogy:- Registers are to RAMâ€™s as Cacheâ€™s are to ___________,System stacks,Overlays,Page Table,TLB,d
Computer Organization,Memory Operations and Management,The BOOT sector files of the system are stored in ___________,Harddisk,ROM,RAM,Fast solid state chips in the motherboard,b
Computer Organization,Memory Operations and Management,The transfer of large chunks of data with the involvement of the processor is done by _______,DMA controller,Arbitrator,User system programs,None of the mentioned,a
Computer Organization,Memory Operations and Management,Which of the following techniques used to effectively utilize main memory?,Address binding,Dynamic linking,Dynamic loading,Both Dynamic linking and loading,c
Computer Organization,Subroutines and Nesting,The return address of the Sub-routine is pointed to by _______,IR,PC,MAR,Special memory registers,b
Computer Organization,Subroutines and Nesting,"The location to return to, from the subroutine is stored in _______",TLB,PC,MAR,Link registers,d
Computer Organization,Subroutines and Nesting,What is subroutine nesting?,Having multiple subroutines in a program,Using a linking nest statement to put many subroutines under the same name,Having one routine call the other,None of the mentioned,c
Computer Organization,Subroutines and Nesting,The order in which the return addresses are generated and used is _________,LIFO,FIFO,Random,Highest priority,a
Computer Organization,Subroutines and Nesting,In case of nested subroutines the return addresses are stored in __________,System heap,Special memory buffers,Processor stack,Registers,c
Computer Organization,Subroutines and Nesting,The appropriate return addresses are obtained with the help of ____ in case of nested routines.,MAR,MDR,Buffers,Stack-pointers,d
Computer Organization,Subroutines and Nesting,When parameters are being passed on to the subroutines they are stored in ________,Registers,Memory locations,Processor stacks,All of the mentioned,d
Computer Organization,Subroutines and Nesting,The most efficient way of handling parameter passing is by using ______,General purpose registers,Stacks,Memory locations,None of the mentioned,a
Computer Organization,Subroutines and Nesting,The most Flexible way of logging the return addresses of the subroutines is by using _______,Registers,Stacks,Memory locations,None of the mentioned,b
Computer Organization,Subroutines and Nesting, The wrong statement/s regarding interrupts and subroutines among the following is/are ______,"i, ii and iv",ii and iii,iv,iii and iv,d
Embedded system, Accumulator Processor,"Which is the first device by Intel, that started the microprocessor revolution?",8080,8086,8087,8088,a
Embedded system, Accumulator Processor,Which is the first microprocessor by Motorola?,MC6800,MC68001,MIPS,PowerPC,a
Embedded system, Accumulator Processor,Motorola MC6800 is a how many-bit processor?,4,8,16,32,b
Embedded system, Accumulator Processor,How many accumulators does an MC6800 have?,1,2,3,4,b
Embedded system, Accumulator Processor,How many bits does an accumulator register of MC6800 have?,8,16,32,4,a
Embedded system, Accumulator Processor,What is the purpose of an accumulator?,Storing data and performing logical operations,Storing data and performing arithmetic and logical operations,Storing addresses,Pointer,b
Embedded system, Accumulator Processor,Which of the following is the area of memory that is used for temporary storage?,Register,Stack,Accumulator,Hard Disk,b
Embedded system, Accumulator Processor,How a stack is accessed?,By using code segment pointer,By using data segment register,By using stack segment register,By using heap segment register,c
Embedded system, Accumulator Processor,PUSH-POP mechanism is seen in _______,Stack pointer,Register,Memory,Index register,a
Embedded system, Accumulator Processor, What is the range of values an 8-bit register can store?,128,64,256,32,c
Embedded system, Accumulator Processor, What is the address range in 80286?,1 Mbytes,2 Mbytes,16 Mbytes,32 mbytes,c
Embedded system, Accumulator Processor, Which is the first 32-bit member of Intel?,8086,8088,80286,80386,d
Embedded system, Accumulator Processor, What supports multitasking in 80386?,Read mode,External paging memory management unit,Paging and segmentation,On-chip paging memory management unit,d
Embedded system,Architecture,Which one of the following is the successor of 8086 and 8088 processor?,80286,80387,8051,8087,a
Embedded system,Architecture,Which is the processor behind the IBM PC AT?,80387,8088,80286,8086,c
Embedded system,Architecture,Which are the two modes of 80286?,Real mode and protected mode,Mode1 and mode2,Alternate and main,Mode A and mode B,a
Embedded system,Architecture,Which register set of 80286 form the same register set of 8086 processor?,"AH,AL",BX,"BX,AX",EL,a
Embedded system,Architecture,Which are the 4 general purposes 16 bit register in Intel 80286?,"CS,DS,SS,ES","AX,BX,CX,DX","IP,FL,DI,SI","DI,SI,BP,SP",b
Embedded system,Architecture,Which are the 4 segmented registers in intel 80286?,"AX,BX,CX,DX","AS,BS,CS,DS","SP,DI,SI,BP","IP,FL,SI,DI",b
Embedded system,Architecture,How is expanded memory accessed in 80286?,Paging,Interleaving,RAM,External storage,a
Embedded system,Architecture,When is the register set gets expanded in 80286?,In real mode,In expanded mode,In protected mode,Interrupt mode,c
Embedded system,Architecture,Which are the two register available in the protected mode of 80286?,General and segmented,General and pointer,Index and base pointer,Index and segmented,c
Embedded system,Architecture, What kind of support does 80286 access in protected mode?,Real mode,Address access,Data access,Virtual memory,d
Embedded system,Architecture, Which of the following processor possess memory management?,8086,8088,80286,8051,c
Embedded system,Architecture, What is the size of the address bus in 80286?,20,24,16,32,b
Embedded system,Architecture, Which is the interrupt vector in 80286 which functions for stack fault?,11,12,14,16,b
Embedded system,Architecture, Which is the interrupt vector that functions as invalid opcode?,9,8,7,6,d
Embedded system,Architecture, Which of the following possess the same set of instructions?,8088 and 80286,8086 and 80286,8051 and 8088,8051 and 8086,b
Embedded system,Coprocessor of Intel,Which of the following is a coprocessor of 80386?,80387,8087,8089,8088,a
Embedded system,Coprocessor of Intel,Name the processor which helps in floating point calculations.,microprocessor,microcontroller,coprocessor,controller,c
Embedded system,Coprocessor of Intel,Which is the coprocessor of 8086?,8087,8088,8086,8080,a
Embedded system,Coprocessor of Intel,Which of the following is a coprocessor of Motorola 68000 family?,68001,68011,68881,68010,c
Embedded system,Coprocessor of Intel,"Which of the following processors can perform exponential, logarithmic and trigonometric functions?",8086,8087,8080,8088,b
Embedded system,Coprocessor of Intel,How many stack register does an 8087 have?,4,8,16,32,b
Embedded system,Coprocessor of Intel,Which of the following processor can handle infinity values?,8080,8086,8087,8088,c
Embedded system,Coprocessor of Intel,Which coprocessor supports affine closure?,80187,80287,80387,8088,b
Embedded system,Coprocessor of Intel,Which one is the floating point coprocessor of 80286?,8087,80187,80287,80387,c
Embedded system,Coprocessor of Intel, How many pins does 8087 have?,40 pin DIP,20 pin DIP,40 pins,20 pins,a
Embedded system,Coprocessor of Intel, What is the clock frequency of 8087?,10 MHz,5 MHz,6 MHz,4 MHz,b
Embedded system,Coprocessor of Intel, How are negative numbers stored in a coprocessor?,1â€™s complement,2â€™s complement,decimal,gray,b
Embedded system,Coprocessor of Intel, How many bits are used for storing signed integers?,2,4,8,16,d
Embedded system,Coprocessor of Intel, Which of the processor has an internal coprocessor?,8087,80287,80387,80486DX,d
Embedded system,Coprocessor of Intel, What are the two major sections in a coprocessor?,control unit and numeric control unit,integer unit and control unit,floating point unit and coprocessor unit,coprocessor unit and numeric control unit,a
Embedded system,Digital Signal Processing,What are the factors of filters which are determined by the speed of the operation in a digital signal processor?,attenuation constant,frequency,bandwidth,phase,c
Embedded system,Digital Signal Processing,How many tables does an FIR function of a digital signal processor possess?,1,2,3,4,b
Embedded system,Digital Signal Processing,Why is said that branch prediction is not applicable in a digital signal processor?,low bandwidth,high bandwidth,low frequency,high frequency,a
Embedded system,Digital Signal Processing,Which architecture can one overcome the low bandwidth issue in MC6800 family?,RISC,CISC,von Neumann,program stored,a
Embedded system,Digital Signal Processing,Which architecture in digital signal processor reduces the execution time?,Harvard,CISC,program storage,von Neumann,a
Embedded system,Digital Signal Processing,Which of the following processors also can work as a digital signal processor?,8086,8088,8080,ARM9E,d
Embedded system,Digital Signal Processing,What types of modules are used in the digital signal processor to form the loop structure?,modulo-timer,modulo-counter,timer,external timer,b
Embedded system,Digital Signal Processing,Name a processor which is used in digital audio appliances.,8086,Motorola DSP56000,80486,8087,b
Embedded system,Digital Signal Processing,How many bits does DSP56000 processor have?,8,16,24,32,c
Embedded system,Digital Signal Processing, How many buses did DSP56000 possess?,2,3,4,5,b
Embedded system,Digital Signal Processing, Which of the following architecture does DSP56000 possess?,Harvard,von Neumann,CISC,program-stored,a
Embedded system,Digital Signal Processing, What does AAU stand for?,arithmetic address unit,address arithmetic unit,address access unit,arithmetic access unit,b
Embedded system,Digital Signal Processing, How many address register does the AAU of a DSP56000 have?,8,16,24,32,c
Embedded system,Digital Signal Processing, How many registers does a DSP56000 have?,4,5,7,6,c
Embedded system,Digital Signal Processing, Which of the following bits are used for sign extension in DSP56000?,upper 8 bits of the stack pointer,lower 8 bits of the stack pointer,lower 8 bits of the program counter,upper 8 bits of the program counter,d
Embedded system,Features of Intel,What are the three stages included in pipelining of 80386?,"Fetch, decode, execute","Fetch, execute, decode","Execute, fetch, decode","Decode, execute, fetch",a
Embedded system,Features of Intel,How instructions and data are accessed to pipeline stages of 80486 processor?,Through internal unified cache,Through external unified cache,Through external cache,Through multiple caches,a
Embedded system,Features of Intel,Which of the following processor possesses a similar instruction of 80486?,8086,80286,80386,8080,c
Embedded system,Features of Intel,What are the two external interrupt signals in 80386?,IV and NMI,NMI and INTR,INTR and IV,PC and NMI,b
Embedded system,Features of Intel,How many bit vector number is used in an interrupt cycle of 80386?,4,8,16,32,b
Embedded system,Features of Intel,In how many modes does 80386 can run?,2,4,3,5,c
Embedded system,Features of Intel,How many bit flag register does 80386 have?,8,16,32,64,c
Embedded system,Features of Intel,Which processor is the derivative of 80386DX?,80387,80386SX,80386 DDX,8087,b
Embedded system,Features of Intel,Which of the following is a portable device of Intel?,80386DX,8087,80386SL,80386SX,c
Embedded system,Features of Intel, Which of the processor has a 5 stage pipeline?,80386,80486,80286,80386DX,b
Embedded system,Features of Intel, Which of the following processor can execute two instructions per cycle?,80486,80386DX,Intel Pentium,80386,c
Embedded system,Features of Intel, Which of the following processors have two five-stage pipelines?,80486,80386,Intel Pentium,80386DX,c
Embedded system,Features of Intel, In which processor does the control register and system management mode register first appeared?,80386,80386SL,80386DX,80486,b
Embedded system,Features of Intel, Which is the next successor of Intel Pentium?,Pentium pro,P1,P2,P5,a
Embedded system,Features of Intel, Which of the following processor allows a multiple branch prediction?,80386,P1,Intel Pentium,Intel Pentium pro,d
Embedded system,Memory,It retains its content when power is removed. What type of memory is this?,Volatile memory,Nonvolatile memory,RAM,MSRA,b
Embedded system,Memory,Name a volatile memory.,RAM,EPROM,ROM,EEPROM,a
Embedded system,Memory,Name a nonvolatile memory.,ROM,RAM,SRAM,DRAM,a
Embedded system,Memory,The initial routine is often referred to as,Initial program,Bootstrap program,Final program,Initial embedded program,b
Embedded system,Memory,What kind of socket does an external EPROM to plugged in for prototyping?,Piggyback,Single socket,Multi-socket,Piggyback reset socket,a
Embedded system,Memory,Which one of the following is UV erasable?,Flash memory,SRAM,EPROM,DRAM,c
Embedded system,Memory,What kind of memory does an OTP have?,SRAM,RAM,EPROM,DRAM,c
Embedded system,Memory,Which type of memory is suitable for low volume production of embedded systems?,ROM,Volatile,Non-volatile,RAM,c
Embedded system,Memory,Which is the single device capable of providing prototyping support for a range of microcontroller?,ROM,Umbrella device,OTP,RAM,b
Embedded system,Memory, What type of memory is suitable for high volume production?,RAM,ROM,EPROM,EEPROM,b
Embedded system,Memory, What type of memory is suitable for medium volume production?,Umbrella devices,OTP,ROM,RAM,b
Embedded system,Memory, How an embedded system communicate with the outside world?,Peripherals,Memory,Input,Output,a
Embedded system,Memory, How the input terminals are associated with external environments?,Actuators,Sensors,Inputs,Outputs,b
Embedded system,Memory, Which of the following are external pins whose logic state can be controlled by the processor to either be a logic zero or logic one is known as,Analogue value,Display values,Binary values,Time derived digital outputs,c
Embedded system,Memory, What kind of visual panel is used for seven segmented display?,LED,LCD,Binary output,Analogue output,b
Embedded system,Microcontroller,Which one of the following is a microcontroller from Motorola?,MC68HC05,4004,MIPS,8080,a
Embedded system,Microcontroller,Which is the first microcontroller?,8051,Arm,TMS1000,Intel 4004,c
Embedded system,Microcontroller,How many bits does MC68HC05 possess?,4,8,16,32,b
Embedded system,Microcontroller,What is the bit size of the program counter in MC68HC05?,7,9,13,17,c
Embedded system,Microcontroller,Which of the following microcontroller is used in engine management system?,MC68HC05,MC68HC11,Intel 80286,Intel 8086,b
Embedded system,Microcontroller,Which is the concatenated register of MC68HC11?,D,X,IP,DI,a
Embedded system,Microcontroller,What does CCR stand for?,Condition code register,Computing code register,Complex code register,Code control register,a
Embedded system,Microcontroller,How many bytes of EPROM does MC68HC7054A possess?,176 bytes,240 bytes,4144 bytes,1024 bytes,c
Embedded system,Microcontroller,Which of the following is an 8-bit command in MC68HC11?,Add,Shift,Multiply,Subtract,c
Embedded system,Microcontroller, Which one of the following is an asynchronous communication channel?,SPI,MUDs,MOO,VOIP,a
Embedded system,Microprocessor,Which of the following microprocessor is designed by Zilog?,Z80,Zigbee,80386,8087,a
Embedded system,Microprocessor,Z80 is mainly based on,Intel 8080,MIPS,TIMS,8051,a
Embedded system,Microprocessor,Flag register of Z80 is also known as,Program status register,Program status address,Program status word,Program address register,c
Embedded system,Microprocessor,What are the two register sets used in Z80?,Câ€™Dâ€™ and BCâ€™,CD and BD,IV and MR,Main and alternate,d
Embedded system,Microprocessor,How an alternate set of the register can be identified in Z80?,â€˜Suffix,â€˜Prefix,",suffix",",prefix",a
Embedded system,Microprocessor,What is the purpose of memory refresh register of Z80?,To control on-chip DRAM,To control on-chip SRAM,To control ROM,To clear cache,a
Embedded system,Microprocessor,What is the clock frequency of Z80?,6 MHz,8 MHz,4 MHz,2 MHz,c
Embedded system,Microprocessor,Which are the two additional registers of Z80?,Interrupt and NMI,NMI and PSW,Interrupt vector and memory refresh,NMI and memory refresh,c
Embedded system,Microprocessor,By which instruction does the switching of registers take place?,Instruction opcodes,AXX instruction,EXX instruction,Register instruction,c
Embedded system,Microprocessor, Which of the following can be a paired set of 16-bit register?,CD,HL,AB,EH,b
Embedded system,Microprocessor, Which signal is used to differentiates the access from a normal memory cycle?,HALT,RESET,MREQ,IORQ,d
Embedded system,Microprocessor, What is done in mode1 of Z80?,Interrupt vector is supplied via the external bus,Interrupt vector is supplied via the peripherals,NMI gets started,Interrupt gets acknowledge from peripheral,a
Embedded system,Microprocessor, What does m1 signal in Z80 describes?,I/O operation status,Memory refresh output,Output pulse on instruction fetch cycle,Interrupt request input,c
Embedded system,Processor ,Which one of the following offers CPUs as integrated memory or peripheral interfaces?,Microcontroller,Microprocessor,Embedded system,Memory system,a
Embedded system,Processor ,Which of the following offers external chips for memory and peripheral interface circuits?,Microcontroller,Microprocessor,Peripheral system,Embedded system,b
Embedded system,Processor ,How many bits does an MC6800 family have?,16,32,4,8,d
Embedded system,Processor ,Which of the following is a 4-bit architecture?,MC6800,8086,80386,National COP series,d
Embedded system,Processor ,What is CISC?,Computing instruction set complex,Complex instruction set computing,Complimentary instruction set computing,Complex instruction set complementary,b
Embedded system,Processor ,How is the protection and security for an embedded system made?,OTP,IPR,Memory disk security,Security chips,b
